Ticker Symbol	2018 Close
WLTW	#N/A
A	67.46
AAL	32.11
AAP	157.46
AAPL	39.44
ABBV	92.19
ABC	4.24
ABT	72.33
ACN	141.01
ADBE	226.24
ADI	85.83
ADM	40.97
ADP	131.12
ADS	0.04
ADSK	128.61
AEE	65.23
AEP	74.74
AES	14.46
AET	10.4
AFL	45.56
AGN	2.47
AIG	39.41
AIZ	89.44
AJG	73.7
AKAM	61.08
ALB	77.07
ALK	60.85
ALL	82.63
ALLE	79.71
ALXN	#N/A
AMAT	32.74
AME	67.7
AMG	97.44
AMGN	194.67
AMP	104.37
AMT	158.19
AMZN	75.1
AN	35.7
ANTM	740
AON	145.36
APA	26.25
APC	0.07
APD	160.05
APH	40.51
ARNC	#N/A
ATVI	#N/A
AVB	174.05
AVGO	254.28
AVY	89.83
AWK	90.77
AXP	95.32
AYI	114.95
AZO	838.34
BA	322.5
BAC	24.64
BAX	65.82
BBBY	#N/A
BBT	#N/A
BBY	52.96
BCR	#N/A
BDX	219.67
BEN	29.66
BHI	54.35
BIIB	300.92
BK	47.07
BLK	392.82
BLL	#N/A
BMY	51.98
BSX	35.34
BWA	30.56
BXP	112.55
C	52.06
CA	14.91
CAG	21.36
CAH	44.6
CAT	127.07
CB	129.18
CBG	#N/A
CBS	#N/A
CCI	108.63
CCL	49.3
CELG	#N/A
CERN	#N/A
CF	43.51
CFG	29.73
CHD	65.76
CHK	#N/A
CHRW	84.09
CHTR	284.97
CI	189.92
CINF	77.42
CL	59.52
CLX	154.14
CMA	68.69
CMCSA	34.05
CME	188.12
CMG	431.79
CMI	133.64
CMS	49.65
CNC	57.65
CNP	28.23
COF	75.59
COG	83
COH	174.9
COL	11.71
COO	254.5
COP	62.35
COST	203.71
COTY	6.56
CPB	32.99
CRM	136.97
CSCO	43.33
CSRA	#N/A
CSX	20.71
CTAS	167.99
CTL	#N/A
CTSH	63.48
CTXS	#N/A
CVS	65.52
CVX	108.79
CXO	0.05
D	71.46
DAL	49.9
DD	76.16
DE	149.17
DFS	58.98
DG	108.08
DGX	83.27
DHI	34.66
DHR	91.42
DIS	109.65
DISCA	#N/A
DISCK	#N/A
DLPH	#N/A
DLR	106.55
DLTR	90.32
DNB	#N/A
DOV	70.95
DOW	#N/A
DPS	#N/A
DRI	99.86
DTE	93.85
DUK	86.3
DVA	51.46
DVN	22.54
EA	78.91
EBAY	28.07
ECL	147.35
ED	76.46
EFX	93.13
EIX	56.77
EL	130.1
EMN	73.11
EMR	59.75
ENDP	#N/A
EOG	87.21
EQIX	352.56
EQR	66.01
EQT	18.89
ES	65.04
ESRX	#N/A
ESS	245.21
ETFC	#N/A
ETN	68.66
ETR	86.07
EVHC	#N/A
EW	51.06
EXC	32.17
EXPD	68.09
EXPE	112.65
EXR	90.48
F	7.65
FAST	26.15
FB	#N/A
